feature_idx,l1_norm_base,l1_norm_it,l2_norm_base,l2_norm_it,delta_l1_norm,delta_l2_norm,cosine_similarity,l1_norm_base_enc,l1_norm_it_enc,l2_norm_base_enc,l2_norm_it_enc,delta_l1_norm_enc,delta_l2_norm_enc,cosine_similarity_enc
56565,40.813087,49.447754,1.0691813,1.3023945,0.587311,0.5895325,0.28866678,46.68833,45.635567,1.2035749,1.1865071,0.4887256,0.49290955,0.61407113
38631,39.61211,43.982357,1.0512404,1.1581613,0.54968184,0.54615974,0.292693,44.720207,44.39933,1.1439042,1.1299169,0.4964124,0.49388614,0.7961497
715,44.5559,41.298275,1.1922933,1.1339338,0.4634434,0.47552636,0.29424474,35.044403,31.52053,0.92799586,0.8279985,0.44972277,0.44612187,0.40816453
24689,38.892036,47.562546,1.0104295,1.2433236,0.5911485,0.59365785,0.29459298,47.12094,48.43158,1.2350061,1.2631446,0.51353085,0.51113826,0.7651072
54200,38.20404,48.43819,1.0061637,1.3066684,0.60564137,0.61498886,0.29466397,36.24886,35.36477,0.952248,0.93396497,0.48780528,0.49040008,0.2857407
52399,37.452686,42.761856,1.0596999,1.2161878,0.56207836,0.56433547,0.29678828,41.69886,19.194443,1.1114227,0.5134244,0.2301555,0.23097622,0.10209853
70956,41.21313,41.758766,1.0887173,1.1061988,0.5065332,0.5079016,0.2998727,42.788887,37.789204,1.1148633,0.97919554,0.44157732,0.43915498,0.5623535
27547,45.520157,44.44951,1.2051221,1.1684008,0.48823985,0.48476446,0.29994544,45.491615,45.072365,1.1751568,1.1600412,0.495392,0.4935687,0.73203236
48786,38.96351,47.512142,1.0290505,1.2563931,0.5899626,0.5904743,0.3008173,44.598362,43.713615,1.1463518,1.1333835,0.49008095,0.49434367,0.68747413
52240,37.983505,49.93006,1.0136962,1.333866,0.6196329,0.62001574,0.30447742,36.240196,37.608994,0.9351911,0.9667076,0.5181977,0.5163009,0.49710703
50723,39.216003,54.50895,1.0319616,1.4512354,0.64027923,0.6444541,0.30699363,44.75499,45.955006,1.1497902,1.1777574,0.5130564,0.51187307,0.77134126
59752,39.39617,46.047905,1.0292336,1.2163975,0.5722262,0.57693374,0.30884665,45.897217,44.55387,1.18581,1.1514227,0.48536572,0.48550054,0.69097567
58246,49.443405,41.806164,1.311645,1.134275,0.42276785,0.4323864,0.30954608,34.814285,28.33897,0.92164946,0.73749655,0.40700203,0.40009603,0.25274438
50071,39.31134,43.2896,1.0373784,1.1395707,0.5459494,0.5448381,0.3105964,45.79705,42.9805,1.1686766,1.100516,0.46924964,0.47083855,0.75831205
70498,38.563892,47.649372,1.0197427,1.2582538,0.5953368,0.5947786,0.31125623,46.845863,46.273575,1.1978946,1.1893021,0.4938918,0.4964135,0.74980515
60734,42.701653,47.64901,1.1370666,1.2716373,0.5519146,0.55291235,0.31356215,41.582603,41.531998,1.0630875,1.0662026,0.4993915,0.50146085,0.6664131
3126,39.82174,44.13787,1.0384331,1.1574262,0.54889375,0.55140424,0.31558907,43.179756,41.74682,1.1174994,1.0976778,0.4834073,0.4911313,0.617874
12440,44.786613,52.32897,1.2348306,1.4291999,0.5720668,0.56799936,0.31825215,41.876396,36.12238,1.075727,0.9506128,0.4312976,0.44184667,0.26193613
13922,40.663803,41.416832,1.0855924,1.1074727,0.50909084,0.50987846,0.32478777,48.007217,45.841682,1.2261927,1.17814,0.47744572,0.48040575,0.74191225
44021,41.20478,42.855885,1.0825251,1.1184195,0.51926345,0.51604694,0.3298368,46.121098,45.963223,1.2010716,1.1839204,0.49828848,0.49286002,0.6515306
33142,41.38933,48.10218,1.102289,1.2665286,0.56977695,0.5648385,0.33038104,50.17342,48.360443,1.3047721,1.2567,0.4819329,0.48157835,0.72089857
37970,37.708748,42.865753,1.0098331,1.1442823,0.560153,0.5587483,0.3314623,45.903755,45.393265,1.1977254,1.1833329,0.49443954,0.49399173,0.72101223
18592,38.46347,41.325268,1.0344623,1.1072093,0.5346253,0.5328515,0.3317555,43.670563,45.206127,1.1071657,1.1586515,0.51698405,0.522218,0.6696733
18307,42.35814,44.784386,1.1163703,1.18407,0.5270881,0.5285877,0.33455864,40.86512,41.321556,1.0477557,1.0536691,0.50552297,0.50280607,0.6893929
56668,42.190994,48.3397,1.1223938,1.275802,0.56359893,0.56012225,0.33674073,41.476074,42.01451,1.0664124,1.0813617,0.50640774,0.50691223,0.7304883
27010,45.731747,46.31388,1.1956198,1.234029,0.50628465,0.51556253,0.3428256,44.196583,40.88891,1.1364347,1.0602767,0.46257997,0.4664926,0.6276177
2135,39.388283,32.829346,1.1518031,1.1533355,0.41674,0.5006643,0.3447724,46.101147,17.304358,1.1936574,0.47314256,0.18767816,0.19819027,0.09680788
64697,56.356415,41.60853,1.4997427,1.1118677,0.36915523,0.3706861,0.34553528,43.049217,34.650467,1.1062703,0.9000159,0.40245175,0.40677938,0.5779555
8962,40.430363,48.697235,1.0656017,1.2771666,0.5848803,0.5828259,0.3457011,45.42391,45.456566,1.1581213,1.1681861,0.50035924,0.50430787,0.8138943
46867,44.512398,53.2834,1.1894214,1.4373465,0.5823052,0.586244,0.34612575,40.20107,38.44707,1.0433127,1.004801,0.4781847,0.48154357,0.53436494
21627,38.37687,44.981956,1.0216228,1.1858196,0.5734193,0.5692335,0.34658736,45.488678,46.17742,1.1654382,1.1990477,0.50745755,0.5140151,0.7280611
27557,43.8086,42.92195,1.1671033,1.1438466,0.4898804,0.49003658,0.35150737,28.574455,23.533482,0.7492466,0.6193427,0.4117923,0.41331032,0.3240428
71193,41.728683,41.633526,1.1000212,1.116019,0.4988598,0.50716734,0.35350174,46.11563,45.727474,1.1862012,1.1721565,0.4957915,0.49407995,0.7008957
35009,38.983273,41.954014,1.0407816,1.1071975,0.53540474,0.5299928,0.362872,45.513103,44.214836,1.1896056,1.1403582,0.48573744,0.47930098,0.65705055
70986,40.634735,47.213642,1.0725591,1.2615132,0.5696717,0.57489187,0.36627078,44.064102,44.968376,1.1356614,1.1626307,0.5100545,0.5115984,0.72729933
27518,37.893898,43.176643,1.0139223,1.1424333,0.56117594,0.5562444,0.3692228,45.786095,44.038906,1.1918987,1.1366947,0.4809201,0.476842,0.69175696
1109,44.26901,43.94463,1.1804761,1.1783377,0.49633628,0.49909428,0.36946207,40.385197,39.847176,1.0534139,1.034644,0.49333888,0.49109092,0.6662093
49048,38.790585,53.27089,1.0366533,1.4113556,0.635912,0.63274556,0.36999154,25.782024,30.86823,0.67085785,0.8092881,0.5823858,0.58552593,0.24984331
19342,38.740433,44.706013,1.0116035,1.1688216,0.5667201,0.56725496,0.37346134,30.973696,30.965502,0.81444085,0.80991215,0.49986774,0.49721974,0.31074005
25187,44.19204,48.91774,1.1684325,1.2941905,0.54830253,0.5485856,0.37417543,42.895897,46.734142,1.0992374,1.1933492,0.5410647,0.5394318,0.696332
40317,45.145554,49.660522,1.2022017,1.3154931,0.5454583,0.5430604,0.37508377,45.295547,45.511925,1.1594123,1.1637558,0.50237715,0.50186616,0.6892681
41811,38.88234,43.883644,1.0346411,1.152414,0.5569837,0.5510983,0.37600973,30.55518,30.009848,0.80063045,0.78545105,0.4910763,0.49052036,0.21382245
36691,38.787582,42.099796,1.0410933,1.1252655,0.53933764,0.537401,0.37668455,45.548424,44.968346,1.1841917,1.1632719,0.4936323,0.49116707,0.73725593
14964,40.081978,46.561172,1.0514365,1.2258484,0.5695772,0.5711393,0.37774795,44.12053,44.258675,1.1500974,1.1486937,0.5015607,0.49938974,0.60930824
